match_date,competition,season,home_team,away_team,event_url,home_score,away_score,home_moneyline_decimal,away_moneyline_decimal,handicap_team,handicap_line,handicap_odds_decimal,total_line,over_odds_decimal,under_odds_decimal,source_bookmaker_home_away,source_bookmaker_total,source_bookmaker_handicap
2024-05-11,france-top-14,2023-2024,Bordeaux Begles,Stade Rochelais,https://www.oddsportal.com/rugby-union/france/top-14-2023-2024/bordeaux-begles-stade-rochelais-C0mHADtM/,34,14,1.25,3.75,,,,46.5,1.8333,1.8333,bet365.us,market-average,
2024-05-11,france-top-14,2023-2024,Castres Olympique,Montpellier,https://www.oddsportal.com/rugby-union/france/top-14-2023-2024/castres-olympique-montpellier-herault-rc-jinL9XeS/,27,26,1.3003,3.4,,,,,,,bet365.us,,
2024-05-12,france-top-14,2023-2024,Stade Toulousain,Stade Francais Paris,https://www.oddsportal.com/rugby-union/france/top-14-2023-2024/stade-toulousain-stade-francais-paris-txgh2kl2/,49,18,1.05,8.5,,,,51.5,1.8333,1.8333,bet365.us,market-average,
2024-05-18,france-top-14,2023-2024,Aviron Bayonnais,USA Perpignan,https://www.oddsportal.com/rugby-union/france/top-14-2023-2024/aviron-bayonnais-usa-perpignan-rsXzRYQ2/,23,20,1.2,4.33,,,,47.5,1.8333,1.8333,bet365.us,market-average,
2024-05-18,france-top-14,2023-2024,Clermont,Castres Olympique,https://www.oddsportal.com/rugby-union/france/top-14-2023-2024/clermont-castres-olympique-j7zqPCeF/,36,20,1.2,4.33,,,,49.5,1.8333,1.8333,bet365.us,market-average,
2024-05-18,france-top-14,2023-2024,Lyon,Racing 92,https://www.oddsportal.com/rugby-union/france/top-14-2023-2024/lyon-racing-92-CMOiNjQR/,20,14,1.3597,3.0,,,,50.5,1.8333,1.8333,bet365.us,market-average,
2024-05-18,france-top-14,2023-2024,Montpellier,Stade Toulousain,https://www.oddsportal.com/rugby-union/france/top-14-2023-2024/montpellier-herault-rc-stade-toulousain-YPUIIAYr/,22,29,1.2198,4.0,,,,51.5,1.8333,1.8333,bet365.us,market-average,
2024-05-18,france-top-14,2023-2024,Stade Rochelais,Section Paloise,https://www.oddsportal.com/rugby-union/france/top-14-2023-2024/stade-rochelais-section-paloise-UcZnOWAL/,25,23,1.1401,5.0,,,,52.5,1.8333,1.8333,bet365.us,market-average,
2024-05-18,france-top-14,2023-2024,US Oyonnax,RC Toulonnais,https://www.oddsportal.com/rugby-union/france/top-14-2023-2024/us-oyonnax-rc-toulonnais-MXVvQht9/,17,27,3.5,1.2899,,,,47.5,1.8333,1.8333,bet365.us,market-average,
2024-05-19,france-top-14,2023-2024,Stade Francais Paris,Bordeaux Begles,https://www.oddsportal.com/rugby-union/france/top-14-2023-2024/stade-francais-paris-bordeaux-begles-SnUMHUmk/,22,18,1.6211,2.2,,,,45.5,1.8333,1.8333,bet365.us,market-average,
2024-06-01,france-top-14,2023-2024,Castres Olympique,Stade Francais Paris,https://www.oddsportal.com/rugby-union/france/top-14-2023-2024/castres-olympique-stade-francais-paris-25MZESX7/,27,18,1.5,2.5,,,,43.5,1.8333,1.8333,bet365.us,market-average,
2024-06-01,france-top-14,2023-2024,Montpellier,Lyon,https://www.oddsportal.com/rugby-union/france/top-14-2023-2024/montpellier-herault-rc-lyon-G8AHwCA8/,41,26,1.4,2.75,,,,50.5,1.8333,1.8333,bet365.us,market-average,
2024-06-01,france-top-14,2023-2024,Racing 92,Section Paloise,https://www.oddsportal.com/rugby-union/france/top-14-2023-2024/racing-92-section-paloise-UBELxWPE/,24,15,1.1401,5.0,,,,52.5,1.8333,1.8333,bet365.us,market-average,
2024-06-01,france-top-14,2023-2024,US Oyonnax,Aviron Bayonnais,https://www.oddsportal.com/rugby-union/france/top-14-2023-2024/us-oyonnax-aviron-bayonnais-OENVF8I1/,27,20,2.25,1.5714,,,,49.5,1.8333,1.8333,bet365.us,market-average,
2024-06-01,france-top-14,2023-2024,USA Perpignan,Bordeaux Begles,https://www.oddsportal.com/rugby-union/france/top-14-2023-2024/usa-perpignan-bordeaux-begles-6wTQGl3e/,37,30,2.0,1.7299,,,,51.5,1.8333,1.8333,bet365.us,market-average,
2024-06-02,france-top-14,2023-2024,RC Toulonnais,Clermont,https://www.oddsportal.com/rugby-union/france/top-14-2023-2024/rc-toulonnais-clermont-Cz4QyjuL/,52,10,1.2899,3.5,,,,52.5,1.8333,1.8333,bet365.us,market-average,
2024-06-02,france-top-14,2023-2024,Stade Toulousain,Stade Rochelais,https://www.oddsportal.com/rugby-union/france/top-14-2023-2024/stade-toulousain-stade-rochelais-jR2UzAfR/,31,31,1.4405,2.63,,,,50.5,1.8,1.9091,bet365.us,market-average,
2024-06-08,france-top-14,2023-2024,Aviron Bayonnais,Castres Olympique,https://www.oddsportal.com/rugby-union/france/top-14-2023-2024/aviron-bayonnais-castres-olympique-M9kdWT2r/,17,28,1.5,2.5,,,,,,,bet365.us,,
2024-06-08,france-top-14,2023-2024,Bordeaux Begles,US Oyonnax,https://www.oddsportal.com/rugby-union/france/top-14-2023-2024/bordeaux-begles-us-oyonnax-00l0VmIl/,40,7,1.01,15.0,,,,60.5,1.8333,1.8333,bet365.us,market-average,
2024-06-08,france-top-14,2023-2024,Clermont,Montpellier,https://www.oddsportal.com/rugby-union/france/top-14-2023-2024/clermont-montpellier-herault-rc-rPw5U7Xf/,52,15,1.02,11.0,,,,57.5,1.8333,1.8333,bet365.us,market-average,
2024-06-08,france-top-14,2023-2024,Lyon,Stade Toulousain,https://www.oddsportal.com/rugby-union/france/top-14-2023-2024/lyon-stade-toulousain-jksDSo27/,40,28,1.4,2.75,,,,55.5,1.8333,1.8333,bet365.us,market-average,
2024-06-08,france-top-14,2023-2024,Section Paloise,USA Perpignan,https://www.oddsportal.com/rugby-union/france/top-14-2023-2024/section-paloise-usa-perpignan-8QBczbLD/,36,24,1.3003,3.4,,,,49.5,1.8333,1.8333,bet365.us,market-average,
2024-06-08,france-top-14,2023-2024,Stade Francais Paris,RC Toulonnais,https://www.oddsportal.com/rugby-union/france/top-14-2023-2024/stade-francais-paris-rc-toulonnais-UutHR5HD/,23,20,1.3597,3.0,,,,,,,bet365.us,,
2024-06-08,france-top-14,2023-2024,Stade Rochelais,Racing 92,https://www.oddsportal.com/rugby-union/france/top-14-2023-2024/stade-rochelais-racing-92-dSs9TRn1/,24,19,1.25,3.75,,,,50.5,1.8333,1.8333,bet365.us,market-average,
2024-06-15,france-top-14,2023-2024,RC Toulonnais,Stade Rochelais,https://www.oddsportal.com/rugby-union/france/top-14-2023-2024/rc-toulonnais-stade-rochelais-WCjHGOw8/,29,34,1.4405,2.63,,,,45.5,1.8333,1.8333,bet365.us,market-average,
2024-06-16,france-top-14,2023-2024,Bordeaux Begles,Racing 92,https://www.oddsportal.com/rugby-union/france/top-14-2023-2024/bordeaux-begles-racing-92-EyG1OzcE/,31,17,1.2198,4.0,,,,50.5,1.8333,1.8333,bet365.us,market-average,
2024-06-16,france-top-14,2023-2024,Grenoble FC,Montpellier,https://www.oddsportal.com/rugby-union/france/pro-d2-2023-2024/grenoble-fc-montpellier-herault-rc-Onm9Ip9e/,18,20,3.75,1.25,,,,50.5,1.8333,1.8333,bet365.us,market-average,
2024-06-21,france-top-14,2023-2024,Stade Toulousain,Stade Rochelais,https://www.oddsportal.com/rugby-union/france/top-14-2023-2024/stade-toulousain-stade-rochelais-xOSlVvJj/,39,23,1.25,3.75,,,,47.5,1.8333,1.8333,bet365.us,market-average,
2024-06-22,france-top-14,2023-2024,Stade Francais Paris,Bordeaux Begles,https://www.oddsportal.com/rugby-union/france/top-14-2023-2024/stade-francais-paris-bordeaux-begles-jNhOR2pe/,20,22,2.75,1.4,,,,43.5,1.8333,1.8333,bet365.us,market-average,
2024-06-28,france-top-14,2023-2024,Stade Toulousain,Bordeaux Begles,https://www.oddsportal.com/rugby-union/france/top-14-2023-2024/stade-toulousain-bordeaux-begles-jurk3mWF/,59,3,1.2899,3.5,,,,50.5,1.8,1.9091,bet365.us,market-average,
